IDCLIENTE;MES;VLVENDA;QTVENDA;QTPARCELAS;QTESTABEL
10043;2020-10;6924,247867;73;73;1
10043;2020-11;9520,247372;60;63;1
10043;2020-12;21196,20765;148;150;1
10043;2021-01;7750,414935;67;67;1
10043;2021-02;10732,05067;56;56;1
10043;2021-03;3148,991043;18;18;1
10043;2021-04;2938,205477;37;37;1
10043;2021-05;1060,736233;9;9;1
10045;2019-01;2699,985557;27;27;1
10045;2019-02;1481,894234;17;17;1
10045;2019-03;2011,863133;23;23;1
10045;2019-04;1189,635101;14;14;1
10045;2019-05;1210,342027;14;14;1
10045;2019-06;977,779195;10;10;1
10045;2019-07;887,0622361;11;11;1
10045;2019-08;1013,529614;13;13;1
10045;2019-09;1127,292193;12;12;1
10045;2019-10;3839,858841;48;48;1
10045;2019-11;4333,575269;54;54;1
10045;2019-12;8397,955988;102;102;1
10045;2020-01;9162,171759;102;102;1
10045;2020-02;5109,290373;63;63;1
10045;2020-03;2315,679389;29;29;1
10045;2020-04;531,7504598;7;7;1
10045;2020-05;1802,341406;27;27;1
10045;2020-06;1902,771621;28;28;1
10045;2020-07;3024,845546;40;40;1
10045;2020-08;3424,707192;44;44;1
10045;2020-09;4954,76679;61;61;1
10045;2020-10;6299,600896;79;79;1
10045;2020-11;6276,489359;79;79;1
10045;2020-12;6567,327216;80;80;1
10045;2021-01;7274,766894;92;92;1
10045;2021-02;5740,731515;74;74;1
10045;2021-03;5194,421555;73;73;1
10045;2021-04;6394,039901;86;86;1
10045;2021-05;7566,429163;92;92;1
10045;2021-06;5959,445485;70;70;1
10054;2019-01;0,120504027;1;1;1
10055;2019-02;81195,10447;3389;3389;1
10055;2019-03;97947,13275;3889;3889;1
10055;2019-04;121551,6885;5340;5340;1
10055;2019-05;141510,4737;6074;6074;1
10055;2019-06;133401,4108;5563;5563;1
10055;2019-07;155299,5178;6390;6391;1
10055;2019-08;154280,2444;6314;6314;1
10055;2019-09;143173,3632;5812;5812;1
10055;2019-10;143320,7619;5927;5929;1
10055;2019-11;120971,4421;4961;4962;1
10055;2019-12;106803,8899;3633;3633;1
10055;2020-01;104589,7271;3958;3958;1
10055;2020-02;84819,83134;3288;3288;1
10055;2020-03;70604,9806;2685;2685;1
10055;2020-04;23089,76091;849;849;1
10055;2020-05;1657,903769;54;54;1
10055;2020-06;10727,06038;407;407;1
10055;2020-07;41763,62094;1595;1595;1
10055;2020-08;47103,76041;1848;1848;1
10055;2020-09;59193,357;2260;2260;1
10055;2020-10;64024,84103;2380;2380;1
10055;2020-11;62371,88326;2331;2331;1
10055;2020-12;27867,02461;1055;1055;1
10055;2021-01;11254,9694;505;505;1
10055;2021-02;45512,22318;1700;1700;1
10055;2021-03;4122,535583;191;191;1
10055;2021-04;3452,160609;162;162;1
10055;2021-05;3128,695004;122;122;1
10055;2021-06;7020,983118;223;223;1
10057;2019-02;20537,31179;321;321;1
10057;2019-03;73926,95246;1123;1123;1
10057;2019-04;121263,0156;1691;1691;1
10057;2019-05;138166,4112;2141;2141;1
10057;2019-06;134910,9253;2069;2070;1
10057;2019-07;142322,1638;2200;2200;1
10057;2019-08;148178,7577;2324;2324;1
10057;2019-09;128595,6462;1950;1950;1
10057;2019-10;134719,3604;1954;1954;1
10057;2019-11;169694,1103;1939;1942;1
10057;2019-12;209211,3192;2327;2327;1
10057;2020-01;172343,7128;2179;2179;1
10057;2020-02;152967,9119;1853;1853;1
10057;2020-03;184302,1502;2280;2280;1
10057;2020-04;186324,3213;2519;2521;1
10057;2020-05;172779,3307;2455;2455;1
10057;2020-06;168418,8761;2299;2299;1
10057;2020-07;171819,9266;2311;2311;1
10057;2020-08;195657,4741;2473;2476;1
10057;2020-09;200273,223;2354;2354;1
10057;2020-10;236042,7655;2642;2642;1
10057;2020-11;188869,2767;1950;1950;1
10057;2020-12;200984,1972;2148;2148;1
10057;2021-01;176035,2671;1905;1905;1
10057;2021-02;151801,3519;1605;1605;1
10057;2021-03;171122,5333;1825;1825;1
10057;2021-04;141614,8874;1529;1529;1
10057;2021-05;137605,1162;1484;1484;1
10057;2021-06;117568,5165;1296;1296;1
10060;2019-01;75548,40607;2043;2313;1
10060;2019-02;72334,02114;1897;2178;1
10060;2019-03;71110,63278;1903;2200;1
10060;2019-04;82547,87239;2167;2520;1
10060;2019-05;80278,63886;2156;2511;1
10060;2019-06;59196,336;1645;1930;1
10060;2019-07;40437,40774;1068;1212;1
10060;2019-08;38324,78119;949;1071;1
10060;2019-09;23678,99561;637;724;1
10060;2019-10;29134,9301;692;839;1
10060;2019-11;8225,376571;115;144;1
10060;2019-12;18213,303;452;540;1
10060;2020-01;38949,61872;928;1114;1
10060;2020-02;51426,6487;1178;1443;1
10060;2020-03;62347,62829;1151;1440;1
10060;2020-04;66202,08432;852;1148;1
10060;2020-05;82607,37532;1333;1724;1
10060;2020-06;59375,34461;728;997;1
10060;2020-07;72113,46953;832;1194;1
10060;2020-08;53299,8322;608;839;1
10060;2020-09;52222,42935;661;921;1
10060;2020-10;58811,31639;628;889;1
10060;2020-11;60192,11828;775;1050;1
10060;2020-12;46116,42709;481;707;1
10060;2021-01;37729,07033;409;604;1
10060;2021-02;34499,58815;349;528;1
10060;2021-03;45666,95166;453;680;1
10060;2021-04;44788,74389;487;732;1
10060;2021-05;113949,5255;1935;2525;1
10060;2021-06;113864,7582;2204;2629;1
10061;2019-01;220362,7832;684;1555;1
10061;2019-02;74058,48816;450;760;1
10061;2019-03;22967,51079;312;383;1
10061;2019-04;13950,72948;318;351;1
10061;2019-05;14576,66497;321;350;1
10061;2019-06;9948,07958;247;261;1
10061;2019-07;12217,21911;351;367;1
10061;2019-08;13721,69474;348;381;1
10061;2019-09;10171,2598;303;325;1
10061;2019-10;13107,67074;365;385;1
10061;2019-11;5187,244559;148;150;1
10061;2019-12;28912,68739;124;175;1
10061;2020-01;86426,61712;326;587;1
10061;2020-02;68852,77741;483;688;1
10061;2020-03;15038,48842;225;271;1
10061;2020-04;1380,55223;20;21;1
10061;2020-05;2090,256227;44;48;1
10061;2020-06;2491,788289;51;59;1
10061;2020-07;4550,679832;84;85;1
10061;2020-08;10182,23491;255;264;1
10061;2020-09;15560,30801;334;363;1
10061;2020-10;14989,45052;337;368;1
10061;2020-11;14116,80708;303;319;1
10061;2020-12;28381,23401;330;392;1
10061;2021-01;46673,67759;296;402;1
10061;2021-02;43412,03732;359;491;1
10061;2021-03;10658,52594;120;159;1
10061;2021-04;10562,48319;198;226;1
10061;2021-05;15883,83329;355;382;1
10061;2021-06;18998,94193;405;423;1
10075;2019-01;13241,98698;441;441;1
10075;2019-02;13447,7509;458;458;1
10075;2019-03;12974,04717;428;428;1
10075;2019-04;14291,70097;489;489;1
10075;2019-05;12913,69652;441;441;1
10075;2019-06;13512,35839;435;435;1
10075;2019-07;13865,8063;489;489;1
10075;2019-08;13528,28443;465;465;1
10075;2019-09;12638,95071;445;445;1
10075;2019-10;11531,11967;415;415;1
10075;2019-11;10374,66287;367;367;1
10075;2019-12;11971,27601;377;377;1
10075;2020-01;13544,11766;433;433;1
10075;2020-02;13020,84769;450;450;1
10075;2020-03;7821,03344;279;279;1
10075;2020-04;3709,857305;119;121;1
10075;2020-05;3268,599633;136;136;1
10075;2020-06;5183,399422;202;202;1
10075;2020-07;3611,943727;147;147;1
10075;2020-08;6589,617834;213;215;1
10075;2020-09;5700,964718;230;230;1
10075;2020-10;5929,602977;225;225;1
10075;2020-11;6466,218883;222;222;1
10075;2020-12;13933,45793;420;420;1
10075;2021-01;11254,03508;388;388;1
10075;2021-02;12873,23795;441;441;1
10075;2021-03;7498,534266;303;303;1
10075;2021-04;9333,023266;330;330;1
10075;2021-05;12935,69846;418;418;1
10075;2021-06;13691,44279;366;366;1
10082;2019-02;124968,0044;1292;1535;1
10082;2019-03;268270,309;2590;3136;1
10082;2019-04;227246,6408;2078;2534;1
10082;2019-05;176304,7784;1700;1985;1
10082;2019-06;174827,7215;1805;2082;1
10082;2019-07;197593,1535;1975;2307;1
10082;2019-08;169797,9936;1774;1999;1
10082;2019-09;172737,9036;1840;2043;1
10082;2019-10;203216,4517;2100;2365;1
10082;2019-11;219058,5131;2200;2491;1
10082;2019-12;260697,6977;2573;2887;1
10082;2020-01;229058,1655;2307;2621;1
10082;2020-02;204374,8745;2051;2336;1
10082;2020-03;176731,4544;1896;2210;1
10082;2020-04;88981,32116;862;1003;1
10082;2020-05;99008,7602;935;1036;1
10082;2020-06;120555,908;1215;1362;1
10082;2020-07;167767,3581;1572;1775;1
10082;2020-08;190838,2101;1812;2061;1
10082;2020-09;225764,9463;2076;2398;1
10082;2020-10;200213,8666;1888;2177;1
10082;2020-11;194634,0335;1820;2086;1
10082;2020-12;251783,664;2297;2618;1
10082;2021-01;189444,2803;1787;2049;1
10082;2021-02;190364,8479;1742;2030;1
10082;2021-03;157819,3787;1543;1768;1
10082;2021-04;158852,5482;1418;1642;1
10082;2021-05;140580,05;1255;1481;1
10082;2021-06;116076,0913;1098;1275;1
10088;2019-02;9814,667192;162;162;1
10088;2019-03;26239,39054;348;348;1
10088;2019-04;27347,70498;429;429;1
10088;2019-05;27623,2181;398;398;1
10088;2019-06;26134,31782;389;389;1
10088;2019-07;24397,72554;374;374;1
10088;2019-08;21570,09877;330;330;1
10088;2019-09;23011,30033;323;323;1
10088;2019-10;26731,86319;408;408;1
10088;2019-11;885,3439487;15;15;1
10089;2019-02;5593,131806;87;97;1
10089;2019-03;6693,363803;104;113;1
10089;2019-04;7695,416699;120;133;1
10089;2019-05;7373,540279;124;137;1
10089;2019-06;7558,214821;122;138;1
10089;2019-07;7399,923885;122;132;1
10089;2019-08;0;0;0;0
10089;2019-10;6725,034825;117;126;1
10089;2019-11;11943,81892;188;202;1
10089;2019-12;13451,37813;208;227;1
10089;2020-01;13240,95105;203;227;1
10089;2020-02;17292,12513;227;264;1
10089;2020-03;20048,69135;266;303;1
10089;2020-04;17880,88598;244;275;1
10089;2020-05;14548,39775;238;258;1
10089;2020-06;12762,39167;202;216;1
10089;2020-07;14751,17002;222;235;1
10089;2020-08;12935,20429;201;216;1
10089;2020-09;13430,96293;222;234;1
10089;2020-10;13928,34024;211;228;1
10089;2020-11;12432,6073;195;210;1
10089;2020-12;14422,06306;214;229;1
10089;2021-01;11866,13347;192;205;1
10089;2021-02;10194,33988;168;181;1
10089;2021-03;13595,61445;211;228;1
10089;2021-04;13092,62884;195;217;1
10089;2021-05;14306,93428;211;231;1
10089;2021-06;13345,21978;196;215;1
10090;2019-01;114628,5031;5231;5231;1
10090;2019-02;106326,9037;4969;4969;1
10090;2019-03;94171,72471;4302;4302;1
10090;2019-04;95016,52951;4191;4191;1
10090;2019-05;85637,89753;3859;3859;1
10090;2019-06;37523,49299;1645;1645;1
10090;2019-07;42622,09265;1910;1910;1
10090;2019-08;42646,69497;1863;1863;1
10090;2019-09;93280,98557;4065;4065;1
10090;2019-10;97373,65311;4221;4221;1
10090;2019-11;70737,38954;3092;3092;1
10090;2019-12;52029,7625;2218;2218;1
10090;2020-01;123446,0369;5373;5373;1
10090;2020-02;88552,41676;3812;3812;1
10090;2020-03;54049,42654;2426;2426;1
10097;2019-02;4565,64255;15;20;1
10097;2019-03;6668,494686;24;30;1
10097;2019-04;6404,124358;14;21;1
10097;2019-05;6054,230523;19;27;1
10097;2019-06;4227,640593;16;19;1
10097;2019-07;7558,053759;21;25;1
10097;2019-08;6477,271626;16;21;1
10097;2019-09;6579,01341;18;24;1
10097;2019-10;7884,426736;22;28;1
10097;2019-11;6373,703839;23;29;1
10097;2019-12;6834,240864;22;24;1
10097;2020-01;5421,950657;18;19;1
10097;2020-02;3907,588614;15;15;1
10097;2020-03;4512,727049;16;16;1
10097;2020-04;4509,016463;16;16;1
10097;2020-05;4545,749408;13;13;1
10097;2020-06;4619,875402;17;17;1
10097;2020-07;6577,73035;20;20;1
10097;2020-08;7844,784761;22;22;1
10097;2020-09;6197,380275;21;21;1
10097;2020-10;7898,86616;23;23;1
10097;2020-11;6842,646478;19;19;1
10097;2020-12;8358,870244;25;25;1
10097;2021-01;5284,164609;19;19;1
10097;2021-02;5620,000509;20;20;1
10097;2021-03;6029,366595;21;21;1
10097;2021-04;5659,643914;23;23;1
10097;2021-05;2319,410626;15;15;1
10097;2021-06;1254,67817;9;9;1
10099;2019-01;32325,56845;772;781;1
10099;2019-02;24822,2916;636;641;1
10099;2019-03;23354,49726;652;654;1
10099;2019-04;26094,48229;717;728;1
10099;2019-05;29543,89174;719;736;1
10099;2019-06;22142,96522;658;661;1
10099;2019-07;34007,6718;888;906;1
10099;2019-08;36216,85497;895;903;1
10099;2019-09;25592,07738;779;785;1
10099;2019-10;30293,01006;780;790;1
10099;2019-11;28129,89465;760;772;1
10099;2019-12;28250,42712;766;773;1
10099;2020-01;25552,9186;787;801;1
10099;2020-02;22503,33779;697;705;1
10099;2020-03;22518,02382;568;580;1
10099;2020-04;22147,28184;606;610;1
