IDCLIENTE;NOMEFANTASIA;FLSITUACAO;SGUF;IDSEGMENTACAO;IDMOEDA;
10188;Colaço Ltda.;HABILITADO;SP;2319;5758;
10191;Gusmão-Cruz;HABILITADO;RS;2319;5758;
10193;de Aguiar e Filhos;HABILITADO;SP;4478;5758;
10195;Santana e Grego;HABILITADO;SP;7230;5758;
10208;Salazar e Maia;HABILITADO;SP;4474;5758;
10210;Maia-Queirós;HABILITADO;SP;1107;5758;
10214;das Dores Comercial Ltda.;HABILITADO;SP;2319;5758;
10228;Rangel e Flores;HABILITADO;SP;5256;5758;
10230;Aguiar-Grego;HABILITADO;SP;2736;5758;
10232;Sales-Matias;HABILITADO;SP;5256;5758;
10237;Leal e da Silva;HABILITADO;SP;5256;5758;
10243;Zaragoça Comercial Ltda.;HABILITADO;SP;4478;5758;
10245;Chaves Comercial Ltda.;HABILITADO;SP;4478;5758;
10246;Dias-Tamoio;HABILITADO;DF;2736;5758;
10247;Gusmão Comercial Ltda.;HABILITADO;BA;5256;5758;
10248;Soto Comercial Ltda.;HABILITADO;SP;5256;5758;
10249;Campos Comercial Ltda.;HABILITADO;SP;8007;5758;
10251;Mendes-Montenegro;HABILITADO;SP;2736;5758;
10252;Fontes Comercial Ltda.;HABILITADO;SP;5256;5758;
10253;Escobar S.A.;HABILITADO;SP;2319;5758;
10254;de Souza e Barreto e Filhos;HABILITADO;MG;9122;5758;
10255;Pontes-Vale;HABILITADO;SP;5919;5758;
10258;Ortiz Comercial Ltda.;HABILITADO;SP;1107;5758;
10259;Maia Comercial Ltda.;HABILITADO;SP;5256;5758;
10263;Burgos Comercial Ltda.;HABILITADO;SP;5256;5758;
10265;Marin Comercial Ltda.;HABILITADO;SP;2736;5758;
10267;Escobar e Casanova e Associados;HABILITADO;SP;5256;5758;
10276;Fidalgo e Cruz e Associados;HABILITADO;RJ;5256;5758;
10278;Batista e Filhos;HABILITADO;SP;2319;5758;
10279;Zamana e Ferminiano;HABILITADO;RJ;5256;5758;
10282;Matos-Ferminiano;HABILITADO;PR;2736;5758;
10287;Estrada e Guerra Ltda.;HABILITADO;TO;5256;5758;
10290;Estrada e Cortês S.A.;HABILITADO;PR;1107;5758;
10293;Faro e Rezende S.A.;HABILITADO;SP;4478;5758;
10295;Santacruz Comercial Ltda.;HABILITADO;SC;2736;5758;
10296;das Neves Comercial Ltda.;HABILITADO;RJ;4474;5758;
10303;Marés Comercial Ltda.;HABILITADO;PR;1107;5758;
10310;Solano e Galvão S.A.;HABILITADO;PE;4474;5758;
10317;Romero-Fontes;HABILITADO;PR;4474;5758;
10328;Feliciano Comercial Ltda.;HABILITADO;SP;5256;5758;
10329;Ferreira e Pena;HABILITADO;SP;5256;5758;
10330;Perez e Correia e Associados;HABILITADO;PA;5256;5758;
10335;Franco-Vasques;HABILITADO;PE;2736;5758;
10336;Ferreira e Grego;HABILITADO;PE;5256;5758;
10338;Fonseca e Faria;HABILITADO;SP;2319;5758;
10339;Vasques e Camacho Ltda.;HABILITADO;SP;2319;5758;
10342;Delgado S.A.;HABILITADO;SP;1107;5758;
10346;Matias Comercial Ltda.;HABILITADO;SP;2319;5758;
10362;Queirós Comercial Ltda.;HABILITADO;RJ;5256;5758;
10363;Esteves-Zamana;HABILITADO;SP;2319;5758;
10365;Ortiz-Paz;HABILITADO;SP;4474;5758;
10373;Vale e Maia;HABILITADO;SP;8007;5758;
10378;Sepúlveda Comercial Ltda.;HABILITADO;SP;2736;5758;
10381;Serra e Delatorre Ltda.;HABILITADO;SP;5256;5758;
10384;Batista e Reis;HABILITADO;SP;5256;5758;
10388;Corona e Abreu e Associados;HABILITADO;SP;7230;5758;
10395;Marinho Comercial Ltda.;HABILITADO;RJ;5256;5758;
10396;Ferreira-Batista;HABILITADO;SP;8211;5758;
10418;Martines-Perez;HABILITADO;SP;2319;5758;
10421;Zambrano-Fidalgo;HABILITADO;SP;5256;5758;
10431;Verdugo e Molina Ltda.;HABILITADO;PR;4478;5758;
10433;Tamoio Comercial Ltda.;HABILITADO;PR;4474;5758;
10434;Maldonado-Mendonça;HABILITADO;PR;7230;5758;
10439;Dominato Comercial Ltda.;HABILITADO;PR;8211;5758;
1044;Queirós e Vale e Associados;HABILITADO;PR;9417;5758;
10440;Lutero-Azevedo;HABILITADO;SP;5919;5758;
10441;Fidalgo Comercial Ltda.;HABILITADO;PR;2319;5758;
10444;Lozano Comercial Ltda.;HABILITADO;MS;1107;5758;
10446;Ferminiano-Soares;HABILITADO;RJ;5256;5758;
10452;Gusmão S.A.;HABILITADO;PR;5256;5758;
10453;Maldonado e Furtado;HABILITADO;PR;8211;5758;
10457;Corona-Franco;HABILITADO;PR;3809;5758;
10464;Montenegro e Ramires;HABILITADO;PR;5256;5758;
10465;Estrada e de Aguiar;HABILITADO;PR;5256;5758;
10470;Marinho e Soto e Filhos;HABILITADO;PR;3809;5758;
10472;Fernandes Comercial Ltda.;HABILITADO;RJ;2736;5758;
10479;Pontes e Quintana S.A.;HABILITADO;SP;5256;5758;
10484;Guerra Comercial Ltda.;HABILITADO;PR;5256;5758;
10485;Rosa Comercial Ltda.;HABILITADO;SP;5919;5758;
10490;Casanova Comercial Ltda.;HABILITADO;SP;4478;5758;
10491;Serna Ltda.;HABILITADO;SP;1107;5758;
10493;Grego Comercial Ltda.;HABILITADO;SP;5256;5758;
10494;Esteves Comercial Ltda.;HABILITADO;PR;8211;5758;
10499;Ortiz e Vasques;HABILITADO;PR;9122;5758;
10504;Paz Comercial Ltda.;HABILITADO;SP;5256;5758;
10509;Delatorre e Prado S.A.;HABILITADO;AM;2319;5758;
10518;Maia-Mendonça;HABILITADO;SC;3809;5758;
10519;Pereira e Balestero Ltda.;HABILITADO;PR;5256;5758;
10527;Delvalle e Ferminiano e Associados;HABILITADO;SP;5256;5758;
10529;Galhardo e Estrada e Filhos;HABILITADO;SP;7230;5758;
10532;Brito Comercial Ltda.;HABILITADO;SP;4478;5758;
10533;Ferreira e Soto;HABILITADO;SP;2736;5758;
10535;Caldeira e Leon Ltda.;HABILITADO;SP;4478;5758;
10545;Dominato-Pena;HABILITADO;SP;4478;5758;
10550;Vasques Comercial Ltda.;HABILITADO;PR;5256;5758;
10555;Estrada e Cordeiro;HABILITADO;SP;5919;5758;
10563;Fernandes S.A.;HABILITADO;SP;4474;5758;
10566;Ferreira e Associados;HABILITADO;ES;5256;5758;
10568;Fontes e Caldeira;HABILITADO;RS;5256;5758;
10571;Fidalgo e Garcia;HABILITADO;SP;4963;5758;
10586;Cruz e Filhos;HABILITADO;SP;1107;5758;
10592;Fontes e Feliciano e Filhos;HABILITADO;CE;5256;5758;
10596;Serra Ltda.;HABILITADO;SP;7230;5758;
10601;Rios Comercial Ltda.;HABILITADO;CE;1107;5758;
10606;Burgos-Esteves;HABILITADO;SP;8211;5758;
10610;Galvão e Filhos;HABILITADO;SC;2319;5758;
10615;Pacheco e Perez Ltda.;HABILITADO;PR;5919;5758;
10624;Madeira-Mascarenhas;HABILITADO;SP;2319;5758;
10626;Barros e Romero Ltda.;HABILITADO;SP;7788;5758;
10632;Galhardo Ltda.;HABILITADO;RJ;7788;5758;
10643;Delvalle e Bezerra S.A.;HABILITADO;SP;7230;5758;
10644;Rangel e Rangel;HABILITADO;RJ;7981;5758;
10651;Soto Comercial Ltda.;HABILITADO;CE;2736;5758;
10656;Garcia e Filhos;HABILITADO;SC;5256;5758;
10657;Carrara e D'ávila Ltda.;HABILITADO;SP;1107;5758;
10672;Cervantes e Toledo Ltda.;HABILITADO;SP;4474;5758;
10680;Zamana e Fidalgo Ltda.;HABILITADO;SC;5256;5758;
10686;Ortiz Comercial Ltda.;HABILITADO;SP;5256;5758;
10689;Urias e Filhos;HABILITADO;PR;5256;5758;
10692;de Oliveira-Santacruz;HABILITADO;RJ;5256;5758;
10694;Maia Comercial Ltda.;HABILITADO;SP;4474;5758;
10695;Rios-Carrara;HABILITADO;SP;5256;5758;
10704;Casanova Comercial Ltda.;HABILITADO;SP;2319;5758;
10711;Velasques e Pacheco Ltda.;HABILITADO;SP;4478;5758;
10712;Cortês e Marin;HABILITADO;SP;7230;5758;
10723;da Rosa Comercial Ltda.;HABILITADO;PR;3809;5758;
10727;Prado e Solano;HABILITADO;SP;2736;5758;
10730;Gil Comercial Ltda.;HABILITADO;SP;2736;5758;
10732;Molina e Padilha Ltda.;HABILITADO;SP;5256;5758;
10738;Velasques Ltda.;HABILITADO;RJ;4478;5758;
10744;Batista e Filhos;HABILITADO;SP;4478;5758;
10747;Verdugo e Medina Ltda.;HABILITADO;SP;2319;5758;
10749;Marin e Estrada e Associados;HABILITADO;SP;5919;5758;
10750;Serra e das Neves;HABILITADO;SP;7230;5758;
10751;Verdugo e Mendes;HABILITADO;RJ;5587;5758;
10760;Azevedo e Rocha Ltda.;HABILITADO;SP;9122;5758;
10764;Pacheco e da Cruz;HABILITADO;SP;5256;5758;
10767;das Neves e Associados;HABILITADO;SP;5256;5758;
10769;Benites Comercial Ltda.;HABILITADO;PR;4474;5758;
10774;Rivera-Montenegro;HABILITADO;PR;5919;5758;
10779;Ferreira e Serra e Filhos;HABILITADO;RJ;5256;5758;
10781;da Rosa e Leon;HABILITADO;RJ;4474;5758;
10782;Carrara e Gomes;HABILITADO;PR;4478;5758;
10784;Sandoval e Ortiz;HABILITADO;DF;4478;5758;
10785;Brito e Santana Ltda.;HABILITADO;SP;5256;5758;
10786;Colaço e Filhos;HABILITADO;SP;5256;5758;
10789;Ávila e Associados;HABILITADO;SP;1107;5758;
10793;Soto e Filhos;HABILITADO;SP;5256;5758;
10797;Barros S.A.;HABILITADO;MT;4478;5758;
10800;Marques e Associados;HABILITADO;SP;5256;5758;
10802;Aguiar e Soto;HABILITADO;RJ;7230;5758;
10805;Quintana e Associados;HABILITADO;PR;4474;5758;
1084;Aranda Comercial Ltda.;HABILITADO;PR;4478;5758;
10852;Godói Ltda.;HABILITADO;SP;5256;5758;
10869;Galvão Comercial Ltda.;HABILITADO;SP;4474;5758;
10898;Campos e Salazar S.A.;HABILITADO;RS;5256;5758;
10907;Ortega-Ferreira;HABILITADO;SP;5256;5758;
10912;Abreu Ltda.;HABILITADO;SP;3809;5758;
10924;Galindo e Gusmão e Filhos;HABILITADO;SP;4474;5758;
10928;Pacheco Comercial Ltda.;HABILITADO;PR;5256;5758;
10934;Benites Comercial Ltda.;HABILITADO;SP;2319;5758;
10940;Rodrigues S.A.;HABILITADO;SP;5256;5758;
10943;Correia Comercial Ltda.;HABILITADO;SP;4474;5758;
10944;Vieira-Vale;HABILITADO;SP;4474;5758;
10948;D'ávila Comercial Ltda.;HABILITADO;SP;5256;5758;
10951;Zamana e Balestero e Associados;HABILITADO;PI;5256;5758;
10953;Pena e Filhos;HABILITADO;SP;5256;5758;
10954;Padilha e Marques;HABILITADO;PR;1639;5758;
10960;Burgos Comercial Ltda.;HABILITADO;SP;2736;5758;
10963;Fidalgo e Gil e Associados;HABILITADO;CE;3897;5758;
10966;Carrara S.A.;HABILITADO;RS;8211;5758;
10968;Duarte e Filhos;HABILITADO;SP;5256;5758;
10970;Batista e Filhos;HABILITADO;PR;5256;5758;
10972;de Oliveira e Rivera Ltda.;HABILITADO;SP;2736;5758;
10974;Madeira Ltda.;HABILITADO;PR;5256;5758;
10975;Azevedo-Campos;HABILITADO;SP;5256;5758;
10976;Batista e Associados;HABILITADO;SP;5256;5758;
10978;Marés-Faria;HABILITADO;SP;3809;5758;
10979;Paes-Brito;HABILITADO;SP;1107;5758;
10981;Matias Comercial Ltda.;HABILITADO;MG;2324;5758;
10983;Leon e da Silva Ltda.;HABILITADO;ES;5256;5758;
10987;Verdara-Espinoza;HABILITADO;SP;2319;5758;
10988;Gonçalves Comercial Ltda.;HABILITADO;SP;4478;5758;
10991;Carmona e Barros e Associados;HABILITADO;SP;7788;5758;
10992;Balestero Comercial Ltda.;HABILITADO;PR;5256;5758;
10996;Batista Comercial Ltda.;HABILITADO;SP;5256;5758;
10998;Reis e Gusmão Ltda.;HABILITADO;SP;5256;5758;
10999;Gomes-Ferminiano;HABILITADO;SP;2324;5758;
11003;de Souza e Filhos;HABILITADO;RO;5256;5758;
11005;Sales Comercial Ltda.;HABILITADO;PR;7183;5758;
11015;Lozano Comercial Ltda.;HABILITADO;PR;4478;5758;
11017;Montenegro S.A.;HABILITADO;RJ;3809;5758;
11023;Santacruz Comercial Ltda.;HABILITADO;RJ;1639;5758;
11024;Montenegro e Filhos;HABILITADO;PR;5587;5758;
11025;das Neves Ltda.;HABILITADO;SP;4474;5758;
11028;Valentin Ltda.;HABILITADO;SP;2319;5758;
11029;Barros e Estrada;HABILITADO;SP;2736;5758;
11037;Carrara Comercial Ltda.;HABILITADO;PR;1107;5758;
11038;Branco-Vila;HABILITADO;SP;5256;5758;
11043;Faria Comercial Ltda.;HABILITADO;SC;5256;5758;
11044;de Aguiar-Madeira;HABILITADO;PR;1262;5758;
11047;Maia-Bonilha;HABILITADO;PR;4129;5758;
11048;Matias e Filhos;HABILITADO;RJ;5256;5758;
11049;Lovato e Associados;HABILITADO;SP;4474;5758;
11050;Gomes e Ávila e Filhos;HABILITADO;SP;5256;5758;
11051;Leon Ltda.;HABILITADO;RS;8211;5758;
11053;Roque-Verdugo;HABILITADO;SP;5256;5758;
11056;Garcia e Associados;HABILITADO;SP;4478;5758;
11059;Quintana e Rivera;HABILITADO;PR;3897;5758;
11063;Espinoza e Quintana;HABILITADO;SC;1107;5758;
11064;Marinho e Gomes S.A.;HABILITADO;CE;3809;5758;
11070;Abreu Comercial Ltda.;HABILITADO;RJ;1107;5758;
11071;Dias e Pacheco e Associados;HABILITADO;BA;4474;5758;
11080;de Aguiar Comercial Ltda.;HABILITADO;SP;5256;5758;
11090;Medina-Cortês;HABILITADO;RJ;7788;5758;
11091;Meireles e Delgado;HABILITADO;PR;2736;5758;
11093;Rosa-Fontes;HABILITADO;SP;5919;5758;
11095;Verdugo e Mascarenhas S.A.;HABILITADO;SP;5256;5758;
11109;Aguiar e Associados;HABILITADO;SP;5256;5758;
11110;Queirós e Verdugo e Associados;HABILITADO;SP;9122;5758;
11112;Faria e Leon S.A.;HABILITADO;SP;5256;5758;
11113;Ramires e Filhos;HABILITADO;DF;5256;5758;
11115;Leal S.A.;HABILITADO;SP;8211;5758;
11117;Pena e Mascarenhas e Associados;HABILITADO;SP;8211;5758;
11118;Bonilha e Ramires S.A.;HABILITADO;RJ;2736;5758;
11121;Garcia e Cruz;HABILITADO;SP;5256;5758;
11122;Zambrano e Oliveira;HABILITADO;SP;4474;5758;
11123;Cortês e Filhos;HABILITADO;CE;4478;5758;
11124;Verdara-Lozano;HABILITADO;RS;5256;5758;
11126;Soto e Matias S.A.;HABILITADO;MA;5256;5758;
11128;Barros-Montenegro;HABILITADO;SP;3809;5758;
11134;Salgado e da Cruz;HABILITADO;SP;5256;5758;
11137;Bonilha Ltda.;HABILITADO;PR;4474;5758;
11141;Martines S.A.;HABILITADO;PR;5256;5758;
11145;Ferraz S.A.;HABILITADO;SP;5256;5758;
11147;Burgos Comercial Ltda.;HABILITADO;SP;4474;5758;
11151;Carrara Comercial Ltda.;HABILITADO;DF;2438;5758;
11152;Santiago Comercial Ltda.;HABILITADO;PR;5256;5758;
11160;Uchoa e Franco;HABILITADO;SP;1107;5758;
11163;Campos e Galindo S.A.;HABILITADO;SP;5256;5758;
11167;Medina S.A.;HABILITADO;SP;5256;5758;
11171;Zamana-Ávila;HABILITADO;SP;3809;5758;
11175;Cortês Comercial Ltda.;HABILITADO;CE;2736;5758;
11179;Ramos Comercial Ltda.;HABILITADO;SC;1107;5758;
11183;Galhardo-Grego;HABILITADO;RJ;2736;5758;
11184;Padrão e Associados;HABILITADO;SP;9470;5758;
11186;Lozano e Ortiz;HABILITADO;MG;4478;5758;
11188;Balestero-Ferraz;HABILITADO;SP;4474;5758;
11189;Vega e Ferreira e Associados;HABILITADO;PR;4474;5758;
11190;Vila Comercial Ltda.;HABILITADO;RS;5587;5758;
11191;Garcia-Mendes;HABILITADO;MG;5256;5758;
11193;Gonçalves e Associados;HABILITADO;RJ;1107;5758;
11196;Leon Comercial Ltda.;HABILITADO;RJ;7981;5758;
11197;Flores e Filhos;HABILITADO;SP;4478;5758;
11198;Carrara Comercial Ltda.;HABILITADO;MG;5256;5758;
11201;Gonçalves e Flores e Associados;HABILITADO;SP;5256;5758;
11202;Branco Comercial Ltda.;HABILITADO;RJ;5919;5758;
11203;Quintana e Associados;HABILITADO;MG;5256;5758;
11204;Burgos-Mendes;HABILITADO;RJ;2319;5758;
11208;Valência e Sepúlveda Ltda.;HABILITADO;SP;5256;5758;
11210;Vieira e Gonçalves e Filhos;HABILITADO;MS;5256;5758;
11211;Galindo Comercial Ltda.;HABILITADO;RJ;2736;5758;
11213;Rosa e Pereira;HABILITADO;RJ;5256;5758;
11215;Galhardo e Godói e Filhos;HABILITADO;SP;2319;5758;
11218;Faro e Romero S.A.;HABILITADO;SP;8007;5758;
11221;Balestero Comercial Ltda.;HABILITADO;SP;8211;5758;
11222;Ferraz e Rico;HABILITADO;SP;8211;5758;
11223;de Aguiar e Benites e Associados;HABILITADO;ES;5256;5758;
11225;Aguiar Comercial Ltda.;HABILITADO;SC;5256;5758;
11226;Ferraz S.A.;HABILITADO;GO;7183;5758;
11228;Medina e Filhos;HABILITADO;SP;5256;5758;
11233;Ortiz Comercial Ltda.;HABILITADO;SP;4474;5758;
11235;Fernandes Comercial Ltda.;HABILITADO;SP;9122;5758;
11241;Campos-Ferreira;HABILITADO;CE;3809;5758;
11252;Barreto Comercial Ltda.;HABILITADO;SP;4478;5758;
11253;Rivera Comercial Ltda.;HABILITADO;SP;4478;5758;
11254;Vila-Santiago;HABILITADO;SP;1107;5758;
11257;Torres e Gomes;HABILITADO;SP;2736;5758;
11264;Feliciano e Abreu;HABILITADO;MG;5256;5758;
11267;Madeira-Soares;HABILITADO;RJ;5256;5758;
11270;Sanches e Associados;HABILITADO;MG;8211;5758;
11271;Pontes e Lovato;HABILITADO;SC;2736;5758;
11272;Paes e Montenegro e Filhos;HABILITADO;SP;4478;5758;
11273;Batista Comercial Ltda.;HABILITADO;SP;8211;5758;
11274;Zaragoça Comercial Ltda.;HABILITADO;SP;4478;5758;
11275;Ferreira-Branco;HABILITADO;PR;8007;5758;
11279;Aranda e Santiago e Filhos;HABILITADO;CE;4478;5758;
11282;Lira-Fonseca;HABILITADO;SP;2736;5758;
11283;Rivera-Delvalle;HABILITADO;SP;1639;5758;
11285;de Aguiar e Valentin;HABILITADO;SP;8007;5758;
11287;Ferreira-Campos;HABILITADO;SC;5256;5758;
11288;Colaço e Rangel;HABILITADO;MA;5587;5758;
11289;Aragão-Balestero;HABILITADO;SC;2736;5758;
11290;Azevedo e de Aguiar S.A.;HABILITADO;RJ;5919;5758;
11291;Cervantes e D'ávila;HABILITADO;RJ;5256;5758;
11292;Serra e Branco;HABILITADO;SP;8211;5758;
11293;Dias Comercial Ltda.;HABILITADO;SP;5256;5758;
11295;Lira Comercial Ltda.;HABILITADO;SP;5256;5758;
11297;Rodrigues e Carrara;HABILITADO;SP;8007;5758;
11300;Ferraz e Filhos;HABILITADO;RN;5919;5758;
11301;Escobar-da Rosa;HABILITADO;MG;3298;5758;
11303;Oliveira-Queirós;HABILITADO;SP;3809;5758;
11304;Matos Comercial Ltda.;HABILITADO;RJ;4478;5758;
11305;Gil e Cervantes S.A.;HABILITADO;SC;5256;5758;
11306;Galhardo Comercial Ltda.;HABILITADO;CE;1107;5758;
11309;Queirós Ltda.;HABILITADO;SP;1107;5758;
11310;Fidalgo e Sepúlveda e Associados;HABILITADO;SP;4474;5758;
11311;Valdez Comercial Ltda.;HABILITADO;CE;3809;5758;
11312;Abreu e Pena;HABILITADO;SP;5256;5758;
11315;Flores-Aragão;HABILITADO;SC;4478;5758;
11316;Valência-Campos;HABILITADO;RJ;5919;5758;
11320;Rios Comercial Ltda.;HABILITADO;SP;5256;5758;
11321;Lira e Meireles;HABILITADO;SP;5919;5758;
11322;Salazar-Escobar;HABILITADO;SP;5256;5758;
11325;Padrão S.A.;HABILITADO;SC;5256;5758;
11326;Padilha Comercial Ltda.;HABILITADO;SC;5256;5758;
11332;Ramires e Padilha e Filhos;HABILITADO;RJ;7788;5758;
11333;das Neves e Vila;HABILITADO;SC;5919;5758;
11340;Pedrosa Comercial Ltda.;HABILITADO;ES;5256;5758;
11343;Neves Comercial Ltda.;HABILITADO;RJ;2736;5758;
11345;Ferraz e Bonilha;HABILITADO;CE;5256;5758;
11347;Salgado Comercial Ltda.;HABILITADO;RJ;2319;5758;
11348;Padilha e Reis e Filhos;HABILITADO;RJ;2736;5758;
11352;Valência e Ortega e Associados;HABILITADO;SC;4474;5758;
11354;Bittencourt e Carrara Ltda.;HABILITADO;RJ;8211;5758;
11355;Bezerra Ltda.;HABILITADO;PR;2736;5758;
11364;Salgado e Campos e Filhos;HABILITADO;SP;4478;5758;
11366;Branco Comercial Ltda.;HABILITADO;PR;5256;5758;
11369;Ferreira-Cervantes;HABILITADO;PR;9274;5758;
11371;Cruz Ltda.;HABILITADO;SP;4478;5758;
11385;Medina e Filhos;HABILITADO;RJ;5256;5758;
11389;Duarte-Bittencourt;HABILITADO;SC;8211;5758;
11394;Guerra-Marin;HABILITADO;PR;5587;5758;
11396;Faro e Sepúlveda e Filhos;HABILITADO;PR;3809;5758;
11397;Vale-Corona;HABILITADO;SP;5256;5758;
11398;Vega e Serra Ltda.;HABILITADO;SC;2736;5758;
11400;Salas e Reis;HABILITADO;RJ;5919;5758;
11405;Romero Comercial Ltda.;HABILITADO;SP;2736;5758;
11407;Padilha S.A.;HABILITADO;PR;5919;5758;
11411;Batista e Estrada e Associados;HABILITADO;PR;8211;5758;
11413;Mendonça-Espinoza;HABILITADO;RJ;5919;5758;
11414;Furtado e Cervantes e Filhos;HABILITADO;PR;3809;5758;
11419;Balestero e Saraiva;HABILITADO;MG;5919;5758;
11428;D'ávila Ltda.;HABILITADO;SC;2736;5758;
11430;Leal Comercial Ltda.;HABILITADO;SC;2319;5758;
1144;Madeira Comercial Ltda.;HABILITADO;SC;1548;5758;
11444;Queirós e Ferminiano S.A.;HABILITADO;SC;5256;5758;
11446;Teles Comercial Ltda.;HABILITADO;SC;5256;5758;
11453;Ortega Comercial Ltda.;HABILITADO;RJ;8211;5758;
11456;Barros S.A.;HABILITADO;PR;5256;5758;
11457;Leon e Matias e Associados;HABILITADO;PR;2736;5758;
11462;Marin e Verdara e Associados;HABILITADO;SP;7736;5758;
11463;Saraiva e Filhos;HABILITADO;SC;5256;5758;
11469;Furtado Comercial Ltda.;HABILITADO;RJ;2736;5758;
11470;Vieira e Saraiva;HABILITADO;RJ;3298;5758;
11477;Espinoza Comercial Ltda.;HABILITADO;SC;5256;5758;
11480;Sales e Paes S.A.;HABILITADO;RJ;7183;5758;
11481;Tamoio Comercial Ltda.;HABILITADO;SP;8211;5758;
11482;Marinho Comercial Ltda.;HABILITADO;SC;5256;5758;
11489;Mascarenhas-Dias;HABILITADO;SP;4474;5758;
11494;Fernandes e Ramires;HABILITADO;PR;5256;5758;
11498;Camacho e Valência e Associados;HABILITADO;SP;1639;5758;
11499;Lovato e Valência e Filhos;HABILITADO;MG;5256;5758;
11501;Montenegro e Duarte S.A.;HABILITADO;CE;4963;5758;
11503;Furtado e Bezerra;HABILITADO;SP;4478;5758;
11505;Ortega Comercial Ltda.;HABILITADO;SP;2319;5758;
11508;Meireles Comercial Ltda.;HABILITADO;SP;3809;5758;
11512;Serra Comercial Ltda.;HABILITADO;SP;5256;5758;
11515;Correia e Serra;HABILITADO;RJ;5256;5758;
11521;Franco e Rico;HABILITADO;RJ;7230;5758;
11523;Delatorre e Vale;HABILITADO;SP;5256;5758;
11524;Lovato e Quintana e Associados;HABILITADO;SC;2736;5758;
11535;Marinho Comercial Ltda.;HABILITADO;SP;8211;5758;
11542;Cortês-Pacheco;HABILITADO;SC;2736;5758;
11554;Madeira Comercial Ltda.;HABILITADO;SC;3809;5758;
11561;Delatorre-Feliciano;HABILITADO;RJ;5256;5758;
11566;Serra Comercial Ltda.;HABILITADO;RJ;8007;5758;
11567;Correia e Urias Ltda.;HABILITADO;RJ;3897;5758;
11569;Benites Comercial Ltda.;HABILITADO;PR;4474;5758;
11580;Guerra e Flores Ltda.;HABILITADO;SP;8007;5758;
11584;Quintana e Sandoval;HABILITADO;RJ;8211;5758;
11589;Delatorre e Sepúlveda;HABILITADO;MG;5256;5758;
11591;Rico Comercial Ltda.;HABILITADO;MG;5256;5758;
11595;Franco S.A.;HABILITADO;MG;7183;5758;
11596;Fontes e Bonilha S.A.;HABILITADO;SP;5256;5758;
11599;Godói e Torres;HABILITADO;SP;3809;5758;
