IDCLIENTE;MES;NOTA
30340;2019-06;9
28640;2020-08;8
8863;2019-01;9
7336;2019-08;6
10680;2020-11;8
29140;2021-06;10
14249;2021-05;8
11687;2019-01;8
11700;2021-05;9
14729;2019-05;9
12136;2021-03;10
26454;2020-12;10
31018;2019-11;8
21583;2020-02;8
10504;2019-12;9
29743;2020-08;8
7956;2020-11;9
12137;2021-05;10
32432;2019-10;10
8851;2019-08;6
7823;2019-05;10
15234;2020-07;7
31108;2019-06;9
13590;2019-06;10
7863;2020-01;8
21241;2020-09;8
13301;2019-12;9
21974;2020-08;9
18646;2019-09;8
7877;2019-03;10
11662;2020-06;10
8652;2019-11;8
27244;2020-10;9
15565;2021-04;10
12716;2019-01;9
12547;2020-07;1
14900;2019-01;8
16626;2020-10;8
6451;2019-05;10
16121;2021-01;9
21277;2019-11;9
16473;2020-06;8
1584;2019-08;2
32471;2021-03;9
29685;2019-07;9
7072;2019-03;8
13113;2019-06;10
15329;2019-02;10
24030;2019-08;9
29769;2019-06;8
7496;2019-12;8
14016;2019-04;9
8594;2019-01;5
27029;2019-03;7
24030;2019-07;10
10421;2019-01;2
15800;2020-12;3
23949;2019-05;5
11862;2019-04;9
26207;2019-12;8
14329;2020-05;10
27011;2020-05;8
7257;2020-03;8
27332;2019-05;10
10177;2020-05;8
29508;2020-08;1
29306;2020-07;10
27217;2020-03;9
29931;2019-06;10
28686;2019-07;9
27622;2019-07;8
19634;2021-02;10
7367;2019-04;10
8602;2021-02;8
13561;2019-04;8
21980;2019-02;10
18926;2021-01;6
14676;2019-07;9
14699;2020-07;9
19125;2019-07;8
20000;2019-09;8
21157;2021-06;9
14782;2020-02;8
14198;2020-09;9
12054;2020-10;10
14789;2019-06;10
20781;2020-06;9
13710;2019-11;8
14649;2020-09;10
15417;2019-08;8
15548;2020-11;5
7823;2021-06;9
11287;2019-06;1
13894;2021-05;10
12798;2020-05;8
14555;2020-03;8
21636;2020-08;9
25374;2020-08;8
29853;2019-12;9
11295;2021-02;10
27016;2020-07;10
13606;2021-04;8
13356;2020-01;10
15144;2020-05;8
7922;2019-02;10
14868;2020-05;8
30939;2019-08;7
26752;2021-05;8
16564;2019-06;9
15130;2019-09;10
7863;2019-03;8
12217;2019-04;8
7899;2019-07;9
13698;2020-03;10
11761;2020-08;8
14286;2019-06;8
10055;2021-03;10
6027;2020-03;9
27455;2021-02;10
26472;2020-06;10
20251;2020-11;10
11295;2020-05;8
32360;2021-01;9
28652;2020-12;10
10175;2021-05;8
10781;2019-11;4
11721;2019-03;9
18033;2019-05;10
12491;2019-05;10
8690;2019-09;8
24956;2020-12;9
13479;2019-02;10
14829;2019-12;9
11141;2021-01;10
21241;2019-09;8
24372;2020-02;10
10433;2020-12;10
21077;2019-09;9
11210;2019-03;8
5991;2020-02;10
25410;2020-06;10
21413;2021-06;9
30333;2020-10;4
25354;2020-10;5
14223;2019-06;3
16786;2019-12;5
32132;2020-09;9
32053;2020-02;8
10960;2020-02;10
20887;2020-03;10
7847;2021-01;10
7795;2019-06;8
10983;2020-12;10
8011;2021-03;10
6408;2019-06;10
8594;2020-01;7
8628;2019-01;9
25443;2020-06;8
16676;2020-06;9
8405;2020-04;9
12284;2020-08;9
15018;2019-05;9
14198;2019-09;9
26042;2021-04;2
15548;2019-08;9
8842;2020-11;9
28038;2021-02;9
24963;2019-08;8
13632;2019-06;10
6438;2020-12;10
7988;2020-01;10
31409;2021-04;9
28519;2020-04;8
11203;2021-05;9
10943;2019-07;10
29126;2019-02;9
14198;2021-04;8
13160;2021-05;9
10566;2019-07;10
31312;2019-09;10
31997;2019-07;9
12218;2019-12;10
27705;2020-03;8
11145;2020-09;9
27178;2019-08;10
32358;2020-08;10
11225;2020-01;8
10563;2020-04;6
6146;2019-11;9
28435;2019-06;9
7448;2020-09;8
4838;2021-03;8
16646;2020-01;2
14718;2019-05;10
13478;2019-04;10
11750;2019-10;10
15919;2020-06;10
21254;2020-07;9
14956;2019-05;8
10680;2020-08;8
26751;2021-01;10
26779;2021-04;10
6584;2019-09;10
12998;2019-12;10
18381;2020-02;10
12754;2020-03;9
14028;2020-08;9
24266;2020-04;9
16328;2020-08;9
18176;2019-07;10
24963;2019-05;1
7468;2019-09;8
8690;2020-07;9
29709;2021-02;8
15838;2021-03;8
10527;2019-09;9
11038;2019-12;2
29189;2019-11;8
15814;2020-12;10
10928;2019-09;8
30810;2021-03;10
7867;2021-03;8
27511;2019-10;8
12015;2020-02;8
13134;2021-06;10
21639;2019-11;9
12034;2020-12;8
10075;2021-06;10
21586;2019-12;5
16419;2020-07;8
24952;2019-09;10
24190;2019-04;8
20772;2021-01;10
8011;2019-07;8
11183;2021-01;1
10732;2021-05;2
27637;2019-05;8
11225;2019-03;8
13340;2021-03;8
11397;2020-05;10
7551;2020-12;9
31286;2020-04;10
15643;2019-11;9
19468;2021-05;8
8389;2020-12;10
14112;2019-12;8
5652;2021-04;5
25439;2020-08;10
10174;2019-04;8
26438;2019-12;8
26162;2020-01;9
11203;2020-05;9
12756;2020-12;9
11523;2019-01;9
7848;2019-07;8
6156;2019-10;10
13410;2019-09;9
10276;2021-02;9
15144;2019-06;10
19329;2019-06;9
29188;2021-02;10
13245;2020-06;10
28811;2020-01;8
16008;2020-05;9
4838;2020-07;9
28807;2020-07;10
16332;2019-12;1
10852;2019-03;9
11542;2019-09;9
11714;2019-09;9
10107;2019-09;10
13726;2020-02;8
23991;2021-03;10
26673;2020-09;10
26684;2019-04;9
12106;2019-12;8
15231;2019-09;10
15329;2020-06;8
19033;2020-02;9
12950;2021-01;10
6146;2020-07;9
16839;2020-07;10
16183;2020-03;8
13419;2019-06;1
23943;2021-04;10
26939;2019-10;8
13893;2019-03;8
11640;2021-04;9
26862;2021-03;9
14191;2021-06;9
21231;2020-05;8
13857;2020-04;5
20776;2020-10;8
29499;2021-03;8
6017;2021-06;1
29125;2020-05;9
24963;2019-11;8
14986;2021-02;10
6218;2019-09;5
30742;2020-03;8
28571;2019-10;9
7867;2020-04;9
21177;2020-07;10
23362;2021-02;9
10479;2019-01;10
23929;2021-05;10
10479;2020-08;9
27411;2021-01;10
25156;2019-12;7
13531;2019-06;10
16377;2020-03;9
7622;2019-05;9
13672;2019-10;3
32390;2020-04;4
19089;2020-06;9
12547;2019-03;9
15536;2020-02;9
15421;2019-08;10
5029;2019-12;9
30456;2021-04;10
30640;2021-02;10
5083;2020-06;8
6767;2019-01;10
11972;2019-04;9
14697;2019-11;7
19587;2019-07;8
10232;2019-02;10
32432;2019-09;8
31244;2020-03;3
26692;2019-08;8
7793;2019-02;9
7908;2019-02;10
30870;2019-05;8
11687;2020-11;6
13532;2020-12;8
12999;2019-07;8
27779;2019-06;8
29907;2019-12;10
14385;2019-06;10
29849;2019-06;10
11709;2019-07;8
25330;2019-07;10
13405;2019-02;10
13342;2019-07;9
10045;2019-09;10
13831;2020-12;8
14970;2019-07;9
16344;2020-03;8
8944;2019-01;10
21108;2019-08;9
28758;2019-10;10
7848;2020-04;9
8294;2020-11;8
21583;2019-10;4
21704;2020-12;6
7791;2020-10;9
13104;2020-06;8
28279;2020-02;8
13234;2021-02;9
30646;2020-06;10
7257;2020-04;8
6287;2021-03;8
30340;2019-11;9
7546;2021-04;6
19873;2021-03;8
6767;2019-11;8
14183;2019-09;10
7648;2020-04;10
14244;2020-01;8
12754;2021-03;8
15185;2020-01;8
7546;2020-03;8
16676;2020-02;1
19329;2019-11;9
26817;2020-10;8
32187;2019-09;10
21700;2019-06;9
7646;2019-06;8
31640;2021-02;9
8690;2020-01;8
30750;2020-12;8
11295;2020-03;10
7859;2020-01;8
12830;2020-12;9
13857;2020-01;9
24512;2019-08;10
19947;2020-03;9
14697;2019-04;9
12850;2020-02;8
29251;2021-05;9
11482;2019-11;8
19550;2020-04;9
11152;2019-07;9
13868;2020-05;9
16006;2020-05;9
20643;2020-03;8
11320;2021-05;9
16658;2021-02;9
24351;2020-09;10
8842;2020-10;9
25156;2021-02;9
27511;2021-01;10
17905;2019-12;10
19649;2019-07;8
12746;2020-12;10
14801;2020-11;9
12738;2019-09;8
13671;2021-04;8
5671;2019-03;2
20961;2020-04;8
6146;2021-04;8
19542;2021-03;9
30953;2019-06;9
29892;2021-05;10
8553;2020-11;9
8747;2020-09;9
15643;2020-02;9
12146;2020-03;9
8608;2019-03;9
29913;2019-08;10
28568;2019-06;9
26924;2019-09;3
19519;2019-05;10
30311;2020-11;10
12363;2019-03;7
5267;2021-01;8
27244;2019-08;9
16569;2020-04;10
27736;2020-05;9
13728;2020-03;9
21762;2021-06;8
8041;2019-04;10
26988;2019-06;10
11836;2020-06;8
13755;2020-02;6
8404;2021-01;8
18974;2021-06;8
14306;2021-05;8
6878;2019-08;10
28438;2019-05;1
11980;2019-09;8
8011;2019-01;8
16676;2020-10;8
30484;2021-01;9
7573;2021-01;10
21976;2021-01;9
11233;2019-09;9
10265;2019-05;10
28836;2020-07;8
5098;2020-07;1
8564;2019-06;8
10395;2019-12;9
19482;2020-03;8
14639;2020-12;8
25645;2021-01;10
26817;2020-02;8
8845;2019-05;10
15448;2020-07;9
6156;2021-05;10
31242;2020-10;8
20776;2019-06;9
13902;2019-07;10
29140;2020-05;8
13104;2020-09;9
10446;2020-10;10
20893;2021-06;9
31993;2020-06;9
27922;2019-10;9
13076;2019-11;9
5711;2020-04;7
13990;2020-07;8
14558;2021-01;9
11984;2021-02;9
7771;2020-09;9
30803;2019-02;8
14739;2019-12;10
21472;2019-09;8
26779;2019-08;8
11869;2019-04;9
6148;2021-03;7
30183;2020-06;8
15452;2020-01;10
11645;2020-05;3
12654;2021-01;8
10953;2020-03;8
24538;2020-06;9
6767;2021-05;9
12257;2020-02;8
28050;2020-07;8
6795;2019-05;9
15565;2021-06;8
5284;2019-05;9
16073;2020-01;8
30456;2020-10;8
27793;2020-11;9
14595;2020-05;8
18772;2019-09;10
10730;2021-06;9
15539;2020-05;9
11645;2021-02;10
8021;2019-01;8
28421;2019-09;8
24025;2019-05;10
8404;2019-10;8
32290;2019-08;10
14446;2021-01;9
24015;2020-08;3
16380;2020-03;10
13240;2019-11;10
11050;2020-01;8
27008;2020-01;5
11003;2019-09;10
28754;2019-01;8
6126;2021-06;9
26042;2020-03;8
16098;2019-09;10
16557;2020-12;9
7771;2019-04;10
7524;2019-07;8
8405;2019-01;10
30196;2021-01;8
12745;2021-06;9
8945;2020-10;10
11816;2020-12;8
18979;2020-11;9
11398;2020-04;8
13957;2020-07;3
26765;2021-01;10
27037;2019-04;9
30953;2019-07;9
10692;2019-11;8
13845;2019-03;9
7363;2021-06;9
30436;2019-09;8
29743;2020-04;10
29396;2021-05;10
24096;2020-09;10
27785;2020-05;9
7378;2020-10;8
8668;2020-07;9
13221;2019-06;10
12208;2020-08;9
28063;2021-01;8
14551;2020-03;9
27821;2021-01;10
13894;2019-03;10
19012;2020-08;8
15051;2019-05;8
11203;2019-08;8
27654;2021-06;8
13245;2021-03;9
5783;2019-10;5
15814;2019-05;6
11721;2019-08;9
16697;2019-08;10
29082;2021-03;9
16121;2019-05;10
11992;2019-05;9
6344;2020-11;8
11936;2019-10;8
25419;2020-05;9
10953;2020-01;10
13676;2019-08;8
13231;2020-03;3
13238;2019-06;9
11816;2020-03;10
15216;2019-08;8
28678;2020-09;9
11596;2021-04;5
11929;2019-09;10
11984;2020-11;7
28822;2020-07;9
5843;2019-03;10
25778;2019-05;9
30770;2019-03;9
21950;2020-06;8
31162;2021-05;9
26765;2019-07;10
27527;2020-07;1
30646;2019-10;9
19400;2020-10;10
30436;2019-12;10
14602;2019-11;9
25452;2020-04;8
6865;2019-05;10
7599;2019-02;9
10433;2020-01;8
31264;2020-06;9
13859;2021-03;9
13783;2020-11;10
13022;2020-10;9
10484;2021-05;8
8897;2021-05;10
11600;2019-07;8
5747;2020-07;10
11223;2019-12;1
16386;2019-07;9
19250;2020-05;7
10208;2019-06;2
5843;2021-04;8
19125;2020-03;8
14451;2019-09;10
4492;2020-12;9
8639;2021-02;10
6724;2019-01;8
15352;2020-05;9
10656;2021-01;10
8996;2019-10;9
28860;2020-03;8
11189;2020-03;9
13436;2020-09;8
32187;2020-01;8
14546;2021-03;9
31350;2020-12;9
11428;2019-04;9
7495;2019-04;8
8920;2020-09;9
20648;2020-08;8
8986;2021-03;10
19947;2020-05;4
14403;2019-10;9
14553;2020-07;3
25443;2019-11;9
29322;2019-05;8
15675;2019-06;3
26765;2019-09;10
11750;2019-11;10
29743;2020-09;10
11542;2020-10;8
10329;2021-02;8
8845;2020-04;8
11287;2021-01;10
5966;2020-07;10
21764;2020-03;9
16791;2020-05;6
23686;2020-06;8
25379;2019-09;9
14115;2019-04;9
14558;2019-06;9
8082;2019-07;8
11662;2019-08;10
31215;2020-02;10
11591;2019-11;8
29542;2021-02;10
31350;2019-09;8
25642;2019-01;7
10328;2019-04;10
5915;2020-03;4
15842;2020-05;9
18600;2019-12;8
7865;2019-01;4
21277;2019-10;9
15565;2020-07;10
14809;2019-04;10
29668;2020-02;5
27439;2020-08;10
32286;2021-06;9
15219;2019-06;10
13436;2019-07;10
21959;2019-05;9
8639;2020-12;8
16642;2020-11;8
19873;2021-02;9
27427;2021-03;8
25645;2020-06;10
12054;2020-06;10
11906;2020-03;10
15798;2020-03;10
5675;2019-04;8
29848;2021-06;8
14183;2020-01;8
5915;2019-03;9
7911;2019-04;9
28758;2019-03;10
11141;2021-03;10
28337;2019-06;10
15934;2020-01;8
14563;2021-04;10
26898;2019-11;10
1504;2019-05;10
21261;2020-05;8
7013;2020-01;8
10727;2019-08;9
6984;2019-11;9
12358;2019-07;5
7372;2021-04;9
30004;2020-06;10
6742;2019-09;9
5029;2019-02;10
12308;2021-01;9
8963;2019-03;9
21980;2019-09;10
12163;2020-10;9
30015;2021-06;9
28377;2019-07;8
11320;2021-02;8
14547;2020-02;9
13566;2020-07;8
8295;2019-02;7
31990;2019-11;1
13971;2020-09;8
9006;2019-05;10
28050;2020-01;8
5265;2020-07;8
11225;2019-08;8
14595;2020-11;8
21704;2020-01;1
26904;2021-05;4
26393;2019-06;10
19158;2020-01;8
25160;2019-07;7
18580;2019-12;8
11936;2020-07;10
15155;2020-11;9
19177;2019-09;8
16628;2020-05;1
8086;2019-01;9
7353;2020-02;10
13676;2020-05;9
29961;2019-09;3
7758;2019-09;10
13200;2019-04;7
8840;2020-11;10
6742;2021-03;8
7415;2021-02;8
15433;2020-08;8
29872;2021-01;10
27063;2021-02;4
11721;2020-01;2
30640;2021-04;9
27161;2020-05;9
19635;2019-11;8
29853;2019-05;9
21769;2019-12;9
14568;2021-06;3
27628;2019-11;10
15233;2019-11;8
30858;2021-03;9
32328;2019-04;8
7886;2020-03;10
18443;2020-06;9
31255;2021-04;9
13084;2020-01;9
30810;2021-05;10
7631;2019-03;8
7818;2020-08;10
18350;2021-03;10
27117;2019-03;10
27971;2019-12;8
32228;2019-09;1
14898;2019-09;10
11569;2019-12;10
11640;2021-06;10
28223;2019-07;8
29635;2020-06;9
15911;2020-10;8
4058;2020-11;5
21177;2019-10;9
14311;2019-03;8
27553;2021-04;9
25645;2019-04;8
13608;2021-04;9
13990;2019-09;6
7013;2021-03;8
15287;2019-01;8
16183;2019-09;4
14195;2020-11;10
11038;2021-04;9
16676;2019-11;4
13590;2020-08;9
20882;2020-10;10
14187;2019-12;8
5918;2019-07;9
5944;2020-05;9
16287;2019-11;8
14286;2019-07;8
25084;2020-01;10
23362;2020-12;10
14112;2020-07;9
16621;2019-03;1
25349;2020-08;10
14913;2021-05;9
6057;2020-11;1
10533;2020-02;10
14709;2019-06;4
11709;2020-06;10
6451;2020-03;10
17875;2020-01;8
5955;2020-07;10
12461;2019-04;10
10177;2019-11;9
16098;2020-05;9
8565;2019-05;9
11692;2020-07;8
12327;2019-11;9
12519;2020-07;10
16437;2020-12;8
16743;2020-07;8
7917;2019-10;8
21769;2019-09;9
8625;2021-02;8
23943;2019-06;10
31108;2020-01;8
29798;2019-08;10
30441;2020-05;9
14765;2020-11;10
13991;2019-09;9
15291;2019-06;9
14546;2020-08;8
16328;2019-04;8
10296;2019-05;10
11924;2020-07;8
8944;2019-11;10
7372;2019-02;9
21254;2019-09;10
32352;2020-03;8
21639;2019-12;10
14912;2020-01;9
32064;2020-01;4
10533;2019-07;9
12950;2019-10;10
22590;2019-01;8
5572;2019-09;8
14971;2019-12;9
13590;2019-04;10
27427;2020-12;9
15894;2020-03;8
11141;2020-02;3
7547;2020-09;8
12868;2019-07;8
10208;2021-03;10
14940;2019-06;9
14187;2019-08;10
13076;2020-02;9
20882;2021-01;9
6896;2019-09;10
28628;2019-06;10
10983;2021-06;8
6889;2021-03;2
5900;2020-01;9
11836;2020-10;10
11617;2019-11;8
18187;2019-11;5
20776;2019-11;8
19177;2019-07;8
11680;2019-07;10
14035;2021-06;10
15539;2020-06;10
19633;2020-06;9
16010;2020-03;9
26692;2019-06;8
30476;2019-07;1
28807;2021-03;4
21413;2021-01;10
11210;2020-12;8
14971;2020-06;10
13557;2020-07;9
8166;2020-11;10
14286;2020-08;10
8966;2021-06;10
15725;2020-10;5
15747;2019-04;9
30472;2019-12;9
8657;2020-09;8
11477;2020-03;8
7074;2019-02;9
4700;2020-08;8
18346;2020-05;8
24066;2020-07;8
8598;2019-03;9
13160;2019-05;6
13893;2020-04;9
29254;2019-03;10
13537;2020-11;10
10267;2019-04;5
28845;2019-03;9
10265;2020-02;10
11801;2019-08;5
31108;2021-06;10
8166;2020-01;10
10940;2020-09;8
10695;2020-07;9
10328;2020-09;8
14311;2020-04;1
12946;2020-01;10
17817;2020-01;9
4838;2020-08;10
26204;2019-06;10
29140;2021-01;10
27800;2019-06;1
14936;2020-02;4
14112;2020-01;9
19873;2019-10;9
7076;2020-08;9
30786;2020-09;8
5976;2020-05;9
27782;2019-07;8
28512;2020-10;9
28519;2020-11;9
14940;2020-02;10
7908;2021-04;9
14251;2021-04;8
7468;2020-04;9
13856;2021-06;9
20772;2020-09;8
27536;2019-12;9
5626;2020-03;10
15655;2020-11;9
14387;2020-01;9
25584;2019-07;10
7758;2019-12;10
10730;2021-05;8
15342;2021-03;8
29640;2020-03;9
29961;2020-08;10
11589;2021-01;10
14525;2020-01;10
31025;2021-06;8
28807;2019-11;8
7965;2019-12;10
26454;2020-11;8
10767;2019-04;9
12335;2019-06;8
16284;2020-02;9
16563;2020-10;8
14084;2021-05;3
7380;2020-05;9
31215;2019-08;10
5918;2020-02;8
29039;2019-09;8
7823;2019-10;5
15082;2019-09;8
14282;2020-01;8
8863;2020-10;9
10996;2019-11;8
11749;2021-05;9
29188;2019-08;10
31232;2020-09;10
26988;2020-03;10
12732;2019-11;9
14478;2020-08;10
12754;2019-09;8
14407;2020-04;8
16458;2019-01;8
14521;2019-05;8
11050;2019-06;8
29140;2021-03;9
12780;2019-01;8
11095;2021-01;10
29396;2020-10;9
11043;2021-03;8
30196;2020-10;10
30646;2020-05;10
29296;2019-07;10
19133;2021-05;9
6795;2019-01;8
10953;2019-10;9
28690;2021-06;9
28402;2019-12;8
16377;2019-09;3
15237;2021-02;8
30646;2021-06;9
32300;2019-11;4
11397;2019-10;10
14034;2020-06;9
14250;2019-05;8
10781;2019-01;9
13005;2019-05;10
13097;2019-05;8
7573;2019-06;9
31168;2019-09;9
12476;2020-08;9
24816;2019-09;10
15216;2021-03;8
8564;2021-01;8
7186;2020-02;1
14505;2021-02;8
19033;2019-10;9
12477;2019-03;10
27601;2019-07;10
6287;2019-01;8
10689;2019-05;10
14893;2021-06;8
15345;2019-11;10
16377;2019-01;9
18814;2019-09;9
10155;2021-01;9
28822;2020-06;7
27800;2019-11;8
16542;2019-05;9
5306;2020-03;10
13845;2021-01;3
15685;2020-03;10
26094;2019-06;7
13783;2019-08;10
16786;2019-04;10
12282;2020-04;6
8023;2019-04;8
10007;2019-04;9
10107;2021-02;7
13089;2019-05;8
30362;2019-03;8
11615;2020-08;9
27011;2020-07;8
7532;2020-10;10
8974;2019-12;8
27918;2021-01;8
13582;2019-09;10
6742;2020-07;2
27645;2019-06;10
4171;2019-06;9
32346;2019-06;10
11145;2019-11;10
10948;2019-11;8
28158;2019-11;8
28151;2019-12;10
7363;2019-01;10
20961;2021-01;8
24752;2021-06;8
11118;2019-06;9
4212;2021-05;9
14685;2020-05;9
32114;2019-01;10
19141;2019-10;10
14431;2019-05;8
12663;2019-01;4
7076;2020-07;10
7862;2019-12;9
16183;2021-04;3
14518;2020-12;8
21760;2019-09;9
14523;2019-07;10
18235;2020-02;8
8810;2019-03;8
15890;2019-05;9
31219;2019-01;8
10310;2020-03;8
29872;2021-03;10
13908;2020-09;8
19301;2019-01;10
15330;2020-02;9
12798;2021-03;9
11816;2021-03;8
28909;2021-01;10
29743;2021-05;8
12120;2020-04;8
